학교명,주소,위도,경도
한솔유치원,경상남도 창원시 마산합포구 진동면 요장1길 110(진동면),35.1107176,128.495092
숲속유치원,경상남도 창원시 마산회원구 내서읍 삼계숲길 225(내서읍),35.2301369,128.4943761
에코소명유치원,경상남도 창원시 마산회원구 소계천서길 113(구암동),35.2591099,128.5955401
다솜유치원,경상남도 창원시 마산회원구 양덕옛2길 36. 한일1차@ 다솜유치원 (양덕동),35.2296784,128.5774645
성운유치원,경상남도 창원시 마산회원구 내서읍 함마대로 2694-93(내서읍),35.2538859,128.5082325
밝은별명성유치원,경상남도 창원시 마산회원구 내서읍 삼풍로 93(내서읍),35.2338319,128.5013837
꽃내음풀내음해돋이유치원,경상남도 창원시 마산회원구 내서읍 광려로 183(내서읍),35.2124502,128.5078929
삼계유치원,경상남도 창원시 마산회원구 내서읍 삼계로 127-11(내서읍),35.2327017,128.4912221
하나유치원,경상남도 창원시 의창구 북면 내감1길 15-27(북면)15-27,35.3004064,128.5904833
사과나무유치원,경상남도 창원시 마산합포구 중앙남5길 23(장군동2가),35.1932711,128.5634243
글로벌리더유치원,경상남도 창원시 진해구 청안로 241-25. 청안동,35.100848,128.8008641
코오롱한샘유치원,경상남도 창원시 마산회원구 내서읍 광려천북로 202. 코오롱한샘유치원 (내서읍),35.267633,128.5239012
대방초등학교병설유치원,경상남도 창원시 성산구 대정로 132(대방동),35.2118043,128.7072111
무동초등학교병설유치원,경상남도 창원시 의창구 북면 동곡로 65(북면),35.3477601,128.6070605
북면초등학교병설유치원,경상남도 창원시 의창구 북면 동전로110번길 36북면초등학교 (북면),35.3053502,128.600118
석화유치원,경상남도 창원시 마산회원구 구암반계길 24(구암동),35.2495166,128.6040014
바른손유치원,경상남도 창원시 마산회원구 구암북15길 49(구암동),35.2553066,128.5946683
가포초등학교,경상남도 창원시 마산합포구 가포로 376. 가포초등학교 (가포동),35.1592978,128.5751889
경화초등학교,경상남도 창원시 진해구 경화로38번길 5(경화동.경화초등학교),35.1575616,128.6868026
창원한들초등학교,경상남도 창원시 의창구 소봉로 43(봉림동),35.2539675,128.6703615
진해냉천초등학교,경상남도 창원시 진해구 냉천로 205(자은동),35.1522967,128.7090933
창원남산초등학교,경상남도 창원시 성산구 가음로83번길 7(남양동. 창원남산초등학교),35.2063223,128.7037311
감천초등학교,경상남도 창원시 마산회원구 내서읍 감천로 53. 감천초등학교 (내서읍.감천초등학교),35.2070132,128.5151654
광려초등학교,경상남도 창원시 마산회원구 내서읍 삼계1길 47(내서읍. 광려초등학교),35.2284544,128.5032369
남양초등학교,경상남도 창원시 성산구 가음로13번길 5. 남양초등학교 (남양동.남양초등학교),35.2118257,128.6983038
