,주유소명,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치,주소,위도,경도
167,청솔주유소,1,4,1,1,1,1.105,전북 전주시 완산구 중화산로 50 (중화산동2가),35.8146827,127.1184566
168,(유)호마주유소,2,5,1,4,2,2.113,전북 전주시 완산구 쑥고개로 198,35.7970968,127.0885314
169,현대오일뱅크(주)직영 호성주유소,2,4,1,5,3,2.715,전북 전주시 덕진구 초포다리로 91,35.8641478,127.159821
170,기린주유소,2,5,1,5,1,1.744,전북 전주시 완산구 콩쥐팥쥐로 1621,35.8249402,127.0767643
171,OK셀프주유소,1,4,1,1,1,1.105,전북 전주시 덕진구 기지로 221,35.8293872,127.1343073
172,그랑프리주유소,2,5,1,5,1,1.744,전북 전주시 완산구 콩쥐팥쥐로 1582 (상림동),35.8247936,127.0723591
173,현대오일뱅크㈜직영 전주IC주유소,3,4,1,5,5,3.789,전북 전주시 덕진구 번영로 480 (반월동),35.8736723,127.0596561
174,(유)황금물류주유소,1,5,4,1,5,3.932,전북 전주시 덕진구 삼례로 168 (고랑동),35.8929623,127.0773985
175,신명주유소,3,5,1,5,1,1.812,전북 전주시 덕진구 초포다리로 191,35.8724686,127.1571076
176,신협주유소,1,4,1,1,1,1.105,전북 전주시 완산구 온고을로 180 (효자동3가),35.8374957,127.1043307
177,어울림주유소,1,4,1,1,1,1.105,전북 전주시 덕진구 심방죽로 63 (인후동2가),35.8415245,127.1515251
178,우아주유소,1,5,1,2,1,1.274,전북 전주시 덕진구 아중로 220 (우아동1가),35.8282075,127.1734766
179,석구주유소,5,5,5,5,5,5,전북 전주시 완산구 구이로 1828 (석구동),35.7614393,127.125947
180,중인주유소,4,5,4,5,5,4.672,전북 전주시 완산구 우림로 1008 (중인동),35.777412,127.1034908
181,해성주유소,5,5,4,5,5,4.74,전북 전주시 완산구 우림로 934 (용복동),35.7743462,127.0962035
182,톨게이트주유소,1,4,1,5,5,3.653,전라북도 전주시 덕진구  기린대로 1144 (반월동),35.8804978,127.0705898
183,SK에너지(주) 서곡주유소,1,4,1,1,1,1.105,전북 전주시 완산구 온고을로 186 (효자동3가),35.8378254,127.1038255
184,SK에너지㈜ 대광제일주유소,1,4,1,1,1,1.105,전북 전주시 완산구 서신로 56 (서신동),35.8304426,127.1162104
185,SK에너지㈜ 코끼리주유소,1,3,1,1,1,1.07,전북 전주시 완산구 거마평로 47 (삼천동1가),35.7967327,127.1166791
186,골드주유소,1,2,1,5,5,3.583,전북 전주시 덕진구 혁신로 544 (여의동),35.861174,127.0688009
187,한흥주유소,1,3,1,1,1,1.07,전북 전주시 덕진구 건산로 166 (인후동1가),35.8331523,127.1551151
188,첨단주유소,1,1,1,5,3,2.542,"전북 전주시 덕진구 기린대로 894,  (동산동)",35.8629976,127.08704
189,행복날개2주유소,2,3,1,5,5,3.686,전북 전주시 덕진구 온고을로 715 (장동),35.8627324,127.061269
190,육일주유소,1,1,1,3,1,1.268,전북 전주시 덕진구 전미로 28 (송천동2가),35.8724553,127.1146633
191,평화동주유소,4,5,1,5,4,3.389,전북 전주시 완산구 구이로 1949 (석구동),35.7716131,127.1271529
192,송천주유소,1,3,1,2,1,1.204,전북 전주시 덕진구 송천4길 55 (송천동1가),35.8609874,127.1157907
193,(주)안국에너지 호반주유소,1,4,1,1,1,1.105,전북 전주시 덕진구 기린대로 600 (덕진동2가),35.8464115,127.1106533
194,동아주유소,1,1,1,1,1,1,전북 전주시 완산구 모악로 4741 (평화동2가),35.7925154,127.1315109
195,중앙주유소,4,5,1,5,3,2.886,전북 전주시 덕진구 전미로 148 (전미동2가),35.8823277,127.1104657
196,덕산주유소,5,5,4,1,5,4.204,전북 전주시 완산구 춘향로 4923 (색장동),35.7825809,127.1975163
197,새로운주유소,1,4,1,1,1,1.105,전북 전주시 완산구 문화광장로 22,35.8225598,127.1465178
