학교명,주소,위도,경도
약사중학교,울산광역시 중구 평산4길 10(약사동. 약사중학교),35.5709854,129.3390504
외솔중학교,울산광역시 중구 종가로 710(서동. 외솔중학교),35.5842573,129.3434351
울산여자중학교,울산광역시 중구 구교10길 60(반구동. 울산여자중학교),35.5642362,129.3381063
울산제일중학교,울산광역시 중구 태화로 77(태화동. 울산제일중학교),35.5545141,129.2846671
유곡중학교,울산광역시 중구 유곡로 85(태화동. 유곡중학교),35.5588435,129.2996477
이화중학교,울산광역시 북구 산업로 1631(중산동.이화중학교),35.6579535,129.3391995
일산중학교,울산광역시 동구 진성15길 15(일산동. 일산중학교),35.5062724,129.4232944
천곡중학교,울산광역시 북구 고래로 38(천곡동. 천곡중학교),35.6321185,129.3406753
학성여자중학교,울산광역시 중구 명정3길 12(태화동. 학성여자중학교),35.555264,129.291472
호계중학교,울산광역시 북구 당수골5길 30(매곡동),35.6420711,129.3654455
화봉중학교,울산광역시 북구 통샘1길 2(화봉동. 화봉중학교),35.5893648,129.3608514
화암중학교,울산광역시 동구 문현5길 35(방어동. 화암중학교),35.4883299,129.4123793
화진중학교,울산광역시 동구 양지1길 45(화정동. 화진중학교),35.4967458,129.4224336
효정중학교,울산광역시 북구 염포로 363(양정동. 효정중학교),35.5591264,129.3785471
진장중학교,울산광역시 북구 진장10길 24. 진장중학교 (진장동),35.5633478,129.3584655
울산중학교,울산광역시 중구 종가 7길 6(복산동),35.5682927,129.3283227
현대청운중학교,울산광역시 동구 방어진순환도로 1073. 현대청운중학교 (서부동),35.5356857,129.4287653
현대중학교,울산광역시 동구 봉수로 453(서부동. 현대중학교),35.5247425,129.4231828
울산스포츠과학중학교,울산광역시 북구 산음3길 16. 울산스포츠과학중학교 (산하동),35.6233896,129.4313779
두왕초등학교병설유치원,울산광역시 남구 테크노산업로82번길 17(두왕동),35.5246932,129.3390702
강남초등학교병설유치원,울산광역시 남구 중앙로166번길 51. 강남초등학교 병설유치원 (달동. 강남초등학교),35.5379056,129.3189699
해담솔유치원,울산광역시 울주군 범서읍 대리1길 13-3(범서읍),35.5686009,129.2442819
남산초등학교병설유치원,울산광역시 남구 거마로 17(옥동. 남산초등학교),35.5370442,129.2958888
대현초등학교병설유치원,울산광역시 남구 수암로 165-3(야음동. 대현초등학교),35.5279302,129.3250222
덕신초등학교병설유치원,울산광역시 울주군 온산읍 서영남1길 27. 덕신초등학교병설유치원 (온산읍),35.4371673,129.3056407
동평초등학교병설유치원,울산광역시 남구 도산로77번길 13-14(달동. 동평초등학교),35.5328508,129.3254417
두동초등학교병설유치원,울산광역시 울주군 두동면 대밀길 29(두동면),35.6549949,129.202159
온산초등학교병설유치원,울산광역시 울주군 온산읍 신온9길 16. 온산초등학교 (온산읍),35.4285018,129.3136679
